PO number,GRN No.,Item number,Item Description,UoM,Qnty received,Supplier code,Received Location
PO-78973,GRN100100072,ITM-003,Capacitor 100uF,PCS,1813,SUP-1014,US/New York
PO-78974,GRN100100073,ITM-004,Silicone Sealant,TUB,755,SUP-1014,Philippines/Manila
PO-78975,GRN100100074,ITM-005,Logic Chip,PCS,1700,SUP-1014,Taiwan/Taipei
PO-78976,GRN100100075,ITM-001,High Precision Resistor,PCS,1799,SUP-1015,Philippines/Manila
PO-78977,GRN100100076,ITM-002,Thermal Paste,TUB,1477,SUP-1015,Philippines/Manila
PO-78978,GRN100100077,ITM-003,Capacitor 100uF,PCS,549,SUP-1015,Philippines/Manila
PO-78979,GRN100100078,ITM-004,Silicone Sealant,TUB,1031,SUP-1015,US/New York
PO-78980,GRN100100079,ITM-005,Logic Chip,PCS,1301,SUP-1015,Taiwan/Taipei
PO-78981,GRN100100080,ITM-001,High Precision Resistor,PCS,1726,SUP-1016,Philippines/Manila
PO-78982,GRN100100081,ITM-002,Thermal Paste,TUB,1495,SUP-1016,Philippines/Manila
PO-78983,GRN100100082,ITM-003,Capacitor 100uF,PCS,470,SUP-1016,Philippines/Manila
PO-78984,GRN100100083,ITM-004,Silicone Sealant,TUB,1218,SUP-1016,Philippines/Manila
PO-78985,GRN100100084,ITM-005,Logic Chip,PCS,1702,SUP-1016,Philippines/Manila
PO-78986,GRN100100085,ITM-001,High Precision Resistor,PCS,826,SUP-1017,Philippines/Manila
PO-78987,GRN100100086,ITM-002,Thermal Paste,TUB,1207,SUP-1017,US/New York
PO-78988,GRN100100087,ITM-003,Capacitor 100uF,PCS,599,SUP-1017,US/New York
PO-78989,GRN100100088,ITM-004,Silicone Sealant,TUB,1527,SUP-1017,Taiwan/Taipei
PO-78990,GRN100100089,ITM-005,Logic Chip,PCS,1771,SUP-1017,US/New York
PO-78991,GRN100100090,ITM-001,High Precision Resistor,PCS,1345,SUP-1018,US/New York
PO-78992,GRN100100091,ITM-002,Thermal Paste,TUB,700,SUP-1018,Taiwan/Taipei
PO-78993,GRN100100092,ITM-003,Capacitor 100uF,PCS,839,SUP-1018,Taiwan/Taipei
PO-78994,GRN100100093,ITM-004,Silicone Sealant,TUB,1688,SUP-1018,Philippines/Manila
PO-78995,GRN100100094,ITM-005,Logic Chip,PCS,1987,SUP-1018,Taiwan/Taipei
PO-78996,GRN100100095,ITM-001,High Precision Resistor,PCS,986,SUP-1019,Taiwan/Taipei
PO-78997,GRN100100096,ITM-002,Thermal Paste,TUB,1692,SUP-1019,Taiwan/Taipei
PO-78998,GRN100100097,ITM-003,Capacitor 100uF,PCS,502,SUP-1019,Philippines/Manila
PO-78999,GRN100100098,ITM-004,Silicone Sealant,TUB,598,SUP-1019,US/New York
PO-79000,GRN100100099,ITM-005,Logic Chip,PCS,1285,SUP-1019,Taiwan/Taipei
PO-79001,GRN100100100,ITM-001,High Precision Resistor,PCS,1727,SUP-1020,Taiwan/Taipei
PO-79002,GRN100100101,ITM-002,Thermal Paste,TUB,1509,SUP-1020,Philippines/Manila
PO-79003,GRN100100102,ITM-003,Capacitor 100uF,PCS,571,SUP-1020,Philippines/Manila
PO-79004,GRN100100103,ITM-004,Silicone Sealant,TUB,624,SUP-1020,US/New York
PO-79005,GRN100100104,ITM-005,Logic Chip,PCS,763,SUP-1020,Taiwan/Taipei
PO-79006,GRN100100105,ITM-001,High Precision Resistor,PCS,1788,SUP-1021,US/New York
PO-79007,GRN100100106,ITM-002,Thermal Paste,TUB,1165,SUP-1021,US/New York
PO-79008,GRN100100107,ITM-003,Capacitor 100uF,PCS,1245,SUP-1021,Philippines/Manila
PO-79009,GRN100100108,ITM-004,Silicone Sealant,TUB,1233,SUP-1021,US/New York
PO-79010,GRN100100109,ITM-005,Logic Chip,PCS,1550,SUP-1021,US/New York
PO-79011,GRN100100110,ITM-001,High Precision Resistor,PCS,1695,SUP-1022,Philippines/Manila
PO-79012,GRN100100111,ITM-002,Thermal Paste,TUB,1000,SUP-1022,US/New York
PO-79013,GRN100100112,ITM-003,Capacitor 100uF,PCS,1703,SUP-1022,Philippines/Manila
PO-79014,GRN100100113,ITM-004,Silicone Sealant,TUB,832,SUP-1022,US/New York
PO-79015,GRN100100114,ITM-005,Logic Chip,PCS,728,SUP-1022,US/New York
PO-79016,GRN100100115,ITM-001,High Precision Resistor,PCS,612,SUP-1023,Taiwan/Taipei
PO-79017,GRN100100116,ITM-002,Thermal Paste,TUB,1271,SUP-1023,US/New York
PO-79018,GRN100100117,ITM-003,Capacitor 100uF,PCS,656,SUP-1023,US/New York
PO-79019,GRN100100118,ITM-004,Silicone Sealant,TUB,1657,SUP-1023,Philippines/Manila
PO-79020,GRN100100119,ITM-005,Logic Chip,PCS,1333,SUP-1023,US/New York
PO-79021,GRN100100120,ITM-001,High Precision Resistor,PCS,1140,SUP-1024,Taiwan/Taipei
PO-79022,GRN100100121,ITM-002,Thermal Paste,TUB,510,SUP-1024,Philippines/Manila
PO-79023,GRN100100122,ITM-003,Capacitor 100uF,PCS,1271,SUP-1024,US/New York
PO-79024,GRN100100123,ITM-004,Silicone Sealant,TUB,789,SUP-1024,Taiwan/Taipei
PO-79025,GRN100100124,ITM-005,Logic Chip,PCS,1127,SUP-1024,US/New York
PO-79026,GRN100100125,ITM-001,High Precision Resistor,PCS,1562,SUP-1025,Philippines/Manila
PO-79027,GRN100100126,ITM-002,Thermal Paste,TUB,1797,SUP-1025,Philippines/Manila
PO-79028,GRN100100127,ITM-003,Capacitor 100uF,PCS,775,SUP-1025,Taiwan/Taipei
PO-79029,GRN100100128,ITM-004,Silicone Sealant,TUB,1718,SUP-1025,Taiwan/Taipei
PO-79030,GRN100100129,ITM-005,Logic Chip,PCS,1681,SUP-1025,Taiwan/Taipei
PO-79031,GRN100100130,ITM-001,High Precision Resistor,PCS,1234,SUP-1026,Philippines/Manila
PO-79032,GRN100100131,ITM-002,Thermal Paste,TUB,962,SUP-1026,Philippines/Manila
PO-79033,GRN100100132,ITM-003,Capacitor 100uF,PCS,915,SUP-1026,Taiwan/Taipei
PO-79034,GRN100100133,ITM-004,Silicone Sealant,TUB,838,SUP-1026,US/New York
PO-79035,GRN100100134,ITM-005,Logic Chip,PCS,1282,SUP-1026,Taiwan/Taipei
PO-79036,GRN100100135,ITM-001,High Precision Resistor,PCS,1108,SUP-1027,Philippines/Manila
PO-79037,GRN100100136,ITM-002,Thermal Paste,TUB,775,SUP-1027,Taiwan/Taipei
PO-79038,GRN100100137,ITM-003,Capacitor 100uF,PCS,789,SUP-1027,US/New York
PO-79039,GRN100100138,ITM-004,Silicone Sealant,TUB,1200,SUP-1027,Taiwan/Taipei
PO-79040,GRN100100139,ITM-005,Logic Chip,PCS,1435,SUP-1027,US/New York
PO-79041,GRN100100140,ITM-001,High Precision Resistor,PCS,1452,SUP-1028,Taiwan/Taipei
PO-79042,GRN100100141,ITM-002,Thermal Paste,TUB,1743,SUP-1028,Taiwan/Taipei
PO-79043,GRN100100142,ITM-003,Capacitor 100uF,PCS,1230,SUP-1028,Taiwan/Taipei
PO-79044,GRN100100143,ITM-004,Silicone Sealant,TUB,1217,SUP-1028,US/New York
PO-79045,GRN100100144,ITM-005,Logic Chip,PCS,1188,SUP-1028,Philippines/Manila
PO-79046,GRN100100145,ITM-001,High Precision Resistor,PCS,1220,SUP-1029,Taiwan/Taipei
PO-79047,GRN100100146,ITM-002,Thermal Paste,TUB,1658,SUP-1029,US/New York
PO-79048,GRN100100147,ITM-003,Capacitor 100uF,PCS,1283,SUP-1029,Taiwan/Taipei
PO-79049,GRN100100148,ITM-004,Silicone Sealant,TUB,1804,SUP-1029,Taiwan/Taipei
PO-79050,GRN100100149,ITM-005,Logic Chip,PCS,1542,SUP-1029,Philippines/Manila
PO-79051,GRN100100150,ITM-001,High Precision Resistor,PCS,1079,SUP-1030,Taiwan/Taipei
PO-79052,GRN100100151,ITM-002,Thermal Paste,TUB,1495,SUP-1030,Taiwan/Taipei
PO-79053,GRN100100152,ITM-003,Capacitor 100uF,PCS,822,SUP-1030,Taiwan/Taipei
PO-79054,GRN100100153,ITM-004,Silicone Sealant,TUB,855,SUP-1030,Philippines/Manila
PO-79055,GRN100100154,ITM-005,Logic Chip,PCS,623,SUP-1030,US/New York
PO-79056,GRN100100155,ITM-001,High Precision Resistor,PCS,1769,SUP-1031,US/New York
PO-79057,GRN100100156,ITM-002,Thermal Paste,TUB,1693,SUP-1031,Taiwan/Taipei
PO-79058,GRN100100157,ITM-003,Capacitor 100uF,PCS,483,SUP-1031,Philippines/Manila
PO-79059,GRN100100158,ITM-004,Silicone Sealant,TUB,1667,SUP-1031,US/New York
PO-79060,GRN100100159,ITM-005,Logic Chip,PCS,1708,SUP-1031,Philippines/Manila
PO-79061,GRN100100160,ITM-001,High Precision Resistor,PCS,1793,SUP-1032,Philippines/Manila
PO-79062,GRN100100161,ITM-002,Thermal Paste,TUB,471,SUP-1032,Taiwan/Taipei
PO-79063,GRN100100162,ITM-003,Capacitor 100uF,PCS,1305,SUP-1032,Philippines/Manila
PO-79064,GRN100100163,ITM-004,Silicone Sealant,TUB,534,SUP-1032,Philippines/Manila
PO-79065,GRN100100164,ITM-005,Logic Chip,PCS,1166,SUP-1032,Taiwan/Taipei
PO-79066,GRN100100165,ITM-001,High Precision Resistor,PCS,1288,SUP-1033,Taiwan/Taipei
PO-79067,GRN100100166,ITM-002,Thermal Paste,TUB,1217,SUP-1033,Philippines/Manila
PO-79068,GRN100100167,ITM-003,Capacitor 100uF,PCS,1859,SUP-1033,US/New York
PO-79069,GRN100100168,ITM-004,Silicone Sealant,TUB,1412,SUP-1033,US/New York
PO-79070,GRN100100169,ITM-005,Logic Chip,PCS,1450,SUP-1033,Taiwan/Taipei
PO-79071,GRN100100170,ITM-001,High Precision Resistor,PCS,637,SUP-1034,US/New York
PO-79072,GRN100100171,ITM-002,Thermal Paste,TUB,1341,SUP-1034,Philippines/Manila
PO-79073,GRN100100172,ITM-003,Capacitor 100uF,PCS,968,SUP-1034,Taiwan/Taipei
PO-79074,GRN100100173,ITM-004,Silicone Sealant,TUB,1864,SUP-1034,Philippines/Manila
PO-79075,GRN100100174,ITM-005,Logic Chip,PCS,1838,SUP-1034,US/New York
PO-79076,GRN100100175,ITM-001,High Precision Resistor,PCS,584,SUP-1035,Taiwan/Taipei
PO-79077,GRN100100176,ITM-002,Thermal Paste,TUB,993,SUP-1035,Taiwan/Taipei
PO-79078,GRN100100177,ITM-003,Capacitor 100uF,PCS,1205,SUP-1035,US/New York
PO-79079,GRN100100178,ITM-004,Silicone Sealant,TUB,1022,SUP-1035,US/New York
PO-79080,GRN100100179,ITM-005,Logic Chip,PCS,571,SUP-1035,US/New York
PO-79081,GRN100100180,ITM-001,High Precision Resistor,PCS,736,SUP-1036,Philippines/Manila
PO-79082,GRN100100181,ITM-002,Thermal Paste,TUB,1883,SUP-1036,US/New York
PO-79083,GRN100100182,ITM-003,Capacitor 100uF,PCS,724,SUP-1036,Taiwan/Taipei
PO-79084,GRN100100183,ITM-004,Silicone Sealant,TUB,1605,SUP-1036,Taiwan/Taipei
PO-79085,GRN100100184,ITM-005,Logic Chip,PCS,555,SUP-1036,US/New York
PO-79086,GRN100100185,ITM-001,High Precision Resistor,PCS,1854,SUP-1037,Taiwan/Taipei
PO-79087,GRN100100186,ITM-002,Thermal Paste,TUB,1318,SUP-1037,Philippines/Manila
PO-79088,GRN100100187,ITM-003,Capacitor 100uF,PCS,1137,SUP-1037,US/New York
PO-79089,GRN100100188,ITM-004,Silicone Sealant,TUB,1847,SUP-1037,US/New York
PO-79090,GRN100100189,ITM-005,Logic Chip,PCS,1221,SUP-1037,Philippines/Manila
PO-79091,GRN100100190,ITM-001,High Precision Resistor,PCS,1364,SUP-1038,Taiwan/Taipei
PO-79092,GRN100100191,ITM-002,Thermal Paste,TUB,785,SUP-1038,Philippines/Manila
PO-79093,GRN100100192,ITM-003,Capacitor 100uF,PCS,1731,SUP-1038,Taiwan/Taipei
PO-79094,GRN100100193,ITM-004,Silicone Sealant,TUB,549,SUP-1038,Taiwan/Taipei
PO-79095,GRN100100194,ITM-005,Logic Chip,PCS,1260,SUP-1038,US/New York
PO-79096,GRN100100195,ITM-001,High Precision Resistor,PCS,1472,SUP-1039,Taiwan/Taipei
PO-79097,GRN100100196,ITM-002,Thermal Paste,TUB,1572,SUP-1039,US/New York
PO-79098,GRN100100197,ITM-003,Capacitor 100uF,PCS,738,SUP-1039,Philippines/Manila
PO-79099,GRN100100198,ITM-004,Silicone Sealant,TUB,1018,SUP-1039,Philippines/Manila
PO-79100,GRN100100199,ITM-005,Logic Chip,PCS,1789,SUP-1039,US/New York
PO-79101,GRN100100200,ITM-001,High Precision Resistor,PCS,1759,SUP-1040,Taiwan/Taipei
PO-79102,GRN100100201,ITM-002,Thermal Paste,TUB,626,SUP-1040,US/New York
PO-79103,GRN100100202,ITM-003,Capacitor 100uF,PCS,793,SUP-1040,Taiwan/Taipei
PO-79104,GRN100100203,ITM-004,Silicone Sealant,TUB,633,SUP-1040,US/New York
PO-79105,GRN100100204,ITM-005,Logic Chip,PCS,1532,SUP-1040,Taiwan/Taipei
PO-79106,GRN100100205,ITM-001,High Precision Resistor,PCS,1580,SUP-1041,US/New York
PO-79107,GRN100100206,ITM-002,Thermal Paste,TUB,1640,SUP-1041,Taiwan/Taipei
PO-79108,GRN100100207,ITM-003,Capacitor 100uF,PCS,1386,SUP-1041,US/New York
PO-79109,GRN100100208,ITM-004,Silicone Sealant,TUB,940,SUP-1041,Taiwan/Taipei
PO-79110,GRN100100209,ITM-005,Logic Chip,PCS,1862,SUP-1041,Philippines/Manila
PO-79111,GRN100100210,ITM-001,High Precision Resistor,PCS,1064,SUP-1042,US/New York
PO-79112,GRN100100211,ITM-002,Thermal Paste,TUB,1700,SUP-1042,Philippines/Manila
PO-79113,GRN100100212,ITM-003,Capacitor 100uF,PCS,1406,SUP-1042,Taiwan/Taipei
PO-79114,GRN100100213,ITM-004,Silicone Sealant,TUB,1224,SUP-1042,Taiwan/Taipei
PO-79115,GRN100100214,ITM-005,Logic Chip,PCS,1889,SUP-1042,Taiwan/Taipei
PO-79116,GRN100100215,ITM-001,High Precision Resistor,PCS,845,SUP-1043,Philippines/Manila
PO-79117,GRN100100216,ITM-002,Thermal Paste,TUB,1146,SUP-1043,Philippines/Manila
PO-79118,GRN100100217,ITM-003,Capacitor 100uF,PCS,1273,SUP-1043,Taiwan/Taipei
PO-79119,GRN100100218,ITM-004,Silicone Sealant,TUB,1317,SUP-1043,Taiwan/Taipei
PO-79120,GRN100100219,ITM-005,Logic Chip,PCS,555,SUP-1043,Taiwan/Taipei
PO-79121,GRN100100220,ITM-001,High Precision Resistor,PCS,1586,SUP-1044,Philippines/Manila
PO-79122,GRN100100221,ITM-002,Thermal Paste,TUB,949,SUP-1044,Philippines/Manila
PO-79123,GRN100100222,ITM-003,Capacitor 100uF,PCS,1515,SUP-1044,US/New York
PO-79124,GRN100100223,ITM-004,Silicone Sealant,TUB,888,SUP-1044,US/New York
PO-79125,GRN100100224,ITM-005,Logic Chip,PCS,973,SUP-1044,Taiwan/Taipei
PO-79126,GRN100100225,ITM-001,High Precision Resistor,PCS,1083,SUP-1045,Philippines/Manila
PO-79127,GRN100100226,ITM-002,Thermal Paste,TUB,1639,SUP-1045,Taiwan/Taipei
PO-79128,GRN100100227,ITM-003,Capacitor 100uF,PCS,940,SUP-1045,Philippines/Manila
PO-79129,GRN100100228,ITM-004,Silicone Sealant,TUB,1632,SUP-1045,US/New York
PO-79130,GRN100100229,ITM-005,Logic Chip,PCS,1488,SUP-1045,US/New York
PO-79131,GRN100100230,ITM-001,High Precision Resistor,PCS,601,SUP-1046,Philippines/Manila
PO-79132,GRN100100231,ITM-002,Thermal Paste,TUB,1552,SUP-1046,Philippines/Manila
PO-79133,GRN100100232,ITM-003,Capacitor 100uF,PCS,1798,SUP-1046,Taiwan/Taipei
PO-79134,GRN100100233,ITM-004,Silicone Sealant,TUB,1037,SUP-1046,Philippines/Manila
PO-79135,GRN100100234,ITM-005,Logic Chip,PCS,1557,SUP-1046,US/New York
PO-79136,GRN100100235,ITM-001,High Precision Resistor,PCS,1786,SUP-1047,US/New York
PO-79137,GRN100100236,ITM-002,Thermal Paste,TUB,874,SUP-1047,US/New York
PO-79138,GRN100100237,ITM-003,Capacitor 100uF,PCS,1029,SUP-1047,Philippines/Manila
PO-79139,GRN100100238,ITM-004,Silicone Sealant,TUB,527,SUP-1047,Philippines/Manila
PO-79140,GRN100100239,ITM-005,Logic Chip,PCS,1024,SUP-1047,US/New York
PO-79141,GRN100100240,ITM-001,High Precision Resistor,PCS,1696,SUP-1048,Taiwan/Taipei
PO-79142,GRN100100241,ITM-002,Thermal Paste,TUB,840,SUP-1048,Philippines/Manila
PO-79143,GRN100100242,ITM-003,Capacitor 100uF,PCS,796,SUP-1048,Philippines/Manila
PO-79144,GRN100100243,ITM-004,Silicone Sealant,TUB,922,SUP-1048,US/New York
PO-79145,GRN100100244,ITM-005,Logic Chip,PCS,1483,SUP-1048,US/New York
PO-79146,GRN100100245,ITM-001,High Precision Resistor,PCS,1584,SUP-1049,Taiwan/Taipei
PO-79147,GRN100100246,ITM-002,Thermal Paste,TUB,882,SUP-1049,Taiwan/Taipei
PO-79148,GRN100100247,ITM-003,Capacitor 100uF,PCS,1127,SUP-1049,Taiwan/Taipei
PO-79149,GRN100100248,ITM-004,Silicone Sealant,TUB,776,SUP-1049,Taiwan/Taipei
PO-79150,GRN100100249,ITM-005,Logic Chip,PCS,1905,SUP-1049,Taiwan/Taipei
PO-79151,GRN100100250,ITM-001,High Precision Resistor,PCS,632,SUP-1050,US/New York
PO-79152,GRN100100251,ITM-002,Thermal Paste,TUB,1104,SUP-1050,Taiwan/Taipei
PO-79153,GRN100100252,ITM-003,Capacitor 100uF,PCS,1389,SUP-1050,Philippines/Manila
PO-79154,GRN100100253,ITM-004,Silicone Sealant,TUB,1426,SUP-1050,Philippines/Manila
PO-79155,GRN100100254,ITM-005,Logic Chip,PCS,605,SUP-1050,Taiwan/Taipei
PO-79156,GRN100100255,ITM-001,High Precision Resistor,PCS,898,SUP-1001,Taiwan/Taipei
PO-79157,GRN100100256,ITM-002,Thermal Paste,TUB,1457,SUP-1001,Taiwan/Taipei
PO-79158,GRN100100257,ITM-003,Capacitor 100uF,PCS,1434,SUP-1001,Philippines/Manila
PO-79159,GRN100100258,ITM-004,Silicone Sealant,TUB,768,SUP-1001,US/New York
PO-79160,GRN100100259,ITM-005,Logic Chip,PCS,1152,SUP-1001,US/New York
PO-79161,GRN100100260,ITM-001,High Precision Resistor,PCS,1586,SUP-1002,Philippines/Manila
PO-79162,GRN100100261,ITM-002,Thermal Paste,TUB,854,SUP-1002,Philippines/Manila
PO-79163,GRN100100262,ITM-003,Capacitor 100uF,PCS,1726,SUP-1002,US/New York
PO-79164,GRN100100263,ITM-004,Silicone Sealant,TUB,1491,SUP-1002,Philippines/Manila
PO-79165,GRN100100264,ITM-005,Logic Chip,PCS,931,SUP-1002,Taiwan/Taipei
PO-79166,GRN100100265,ITM-001,High Precision Resistor,PCS,1059,SUP-1003,Taiwan/Taipei
PO-79167,GRN100100266,ITM-002,Thermal Paste,TUB,685,SUP-1003,Taiwan/Taipei
PO-79168,GRN100100267,ITM-003,Capacitor 100uF,PCS,1066,SUP-1003,Taiwan/Taipei
PO-79169,GRN100100268,ITM-004,Silicone Sealant,TUB,622,SUP-1003,Philippines/Manila
PO-79170,GRN100100269,ITM-005,Logic Chip,PCS,1644,SUP-1003,Philippines/Manila
PO-79171,GRN100100270,ITM-001,High Precision Resistor,PCS,815,SUP-1004,US/New York
PO-79172,GRN100100271,ITM-002,Thermal Paste,TUB,1529,SUP-1004,US/New York
PO-79173,GRN100100272,ITM-003,Capacitor 100uF,PCS,1223,SUP-1004,Taiwan/Taipei
PO-79174,GRN100100273,ITM-004,Silicone Sealant,TUB,1309,SUP-1004,Philippines/Manila
PO-79175,GRN100100274,ITM-005,Logic Chip,PCS,1831,SUP-1004,Taiwan/Taipei
PO-79176,GRN100100275,ITM-001,High Precision Resistor,PCS,1730,SUP-1005,Philippines/Manila
PO-79177,GRN100100276,ITM-002,Thermal Paste,TUB,734,SUP-1005,Taiwan/Taipei
PO-79178,GRN100100277,ITM-003,Capacitor 100uF,PCS,1592,SUP-1005,Philippines/Manila
PO-79179,GRN100100278,ITM-004,Silicone Sealant,TUB,769,SUP-1005,US/New York
PO-79180,GRN100100279,ITM-005,Logic Chip,PCS,805,SUP-1005,Taiwan/Taipei
