Item Number,Item Description,Supplier Name,Supplier Code,Supplier Location,Delivery location,Lead time (Weeks),Unit Price (USD),Air shipping cost/pc,Sea shipping cost/pc,Total Unit Cost with Sea shipping,Total Unit Cost with Air shipping,MOQ,Inco Terms,Payment Terms,Stock Ownership Basis (SOB),Contract Number,Contract Date,Contract Validity,Buyer Code,Unique Code if Sea,Unique Code if Air
ITM-001,Apple iPhone 15 Pro,Supplier C,SUP-1003,China,Philippines/Manila,1,920,50,0.47,920.47,970.47,156,DDP,60 Days,Consignment,CTR-9011,25/10/24,10/09/25,BUY-002,103S,103A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier C,SUP-1003,China,Taiwan/Taipei,1,459.44,50,0.44,459.88,509.88,162,CIF,45 Days,Consignment,CTR-9012,07/02/25,24/10/25,BUY-003,203S,203A
ITM-003,Nike Air Jordan Sneakers,Supplier C,SUP-1003,China,US/New York,1,65.12,50,0.37,65.49,115.49,66,EXW,15 Days,Consignment,CTR-9013,30/10/24,22/06/25,BUY-002,303S,303A
ITM-004,KitchenAid Stand Mixer,Supplier C,SUP-1003,China,Philippines/Manila,2,183.7,50,0.43,184.13,234.13,196,DDP,60 Days,Own Stock,CTR-9014,11/10/24,30/06/25,BUY-002,403S,403A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier C,SUP-1003,China,Taiwan/Taipei,1,351.94,50,0.4,352.34,402.34,105,EXW,60 Days,Consignment,CTR-9015,27/02/25,19/06/25,BUY-004,503S,503A
ITM-001,Apple iPhone 15 Pro,Supplier D,SUP-1004,USA,US/New York,2,920,50,0.47,920.47,970.47,136,FOB,60 Days,Customer-Owned,CTR-9016,12/02/25,05/04/26,BUY-004,104S,104A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier D,SUP-1004,USA,Philippines/Manila,1,459.98,50,0.42,460.4,510.4,94,DDP,45 Days,Own Stock,CTR-9017,21/06/24,28/08/25,BUY-001,204S,204A
ITM-003,Nike Air Jordan Sneakers,Supplier D,SUP-1004,USA,Philippines/Manila,2,65.12,50,0.49,65.61,115.61,57,FOB,60 Days,Customer-Owned,CTR-9018,08/01/25,24/02/26,BUY-003,304S,304A
ITM-004,KitchenAid Stand Mixer,Supplier D,SUP-1004,USA,US/New York,2,183.64,50,0.4,184.04,234.04,153,EXW,15 Days,Consignment,CTR-9019,03/11/24,03/09/25,BUY-002,404S,404A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier D,SUP-1004,USA,US/New York,2,352.15,50,0.45,352.6,402.6,53,EXW,60 Days,Own Stock,CTR-9020,10/03/25,15/06/25,BUY-003,504S,504A
ITM-001,Apple iPhone 15 Pro,Supplier E,SUP-1005,USA,Philippines/Manila,2,920,50,0.48,920.48,970.48,130,FOB,45 Days,Own Stock,CTR-9021,23/12/24,10/07/25,BUY-001,105S,105A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier E,SUP-1005,USA,Taiwan/Taipei,1,459.76,50,0.49,460.25,510.25,78,FOB,30 Days,Customer-Owned,CTR-9022,23/07/24,06/10/25,BUY-002,205S,205A
ITM-003,Nike Air Jordan Sneakers,Supplier E,SUP-1005,USA,US/New York,2,65.12,50,0.46,65.58,115.58,189,FOB,30 Days,Consignment,CTR-9023,12/03/25,06/04/26,BUY-001,305S,305A
ITM-004,KitchenAid Stand Mixer,Supplier E,SUP-1005,USA,Philippines/Manila,2,183.35,50,0.42,183.77,233.77,100,CIF,15 Days,Own Stock,CTR-9024,09/09/24,27/09/25,BUY-002,405S,405A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier E,SUP-1005,USA,Philippines/Manila,2,352.1,50,0.46,352.56,402.56,165,EXW,15 Days,Own Stock,CTR-9025,04/06/24,25/09/25,BUY-001,505S,505A
ITM-001,Apple iPhone 15 Pro,Supplier F,SUP-1006,USA,Taiwan/Taipei,2,920,50,0.41,920.41,970.41,134,DDP,45 Days,Customer-Owned,CTR-9026,03/11/24,21/01/26,BUY-004,106S,106A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier F,SUP-1006,USA,US/New York,2,460.4,50,0.43,460.83,510.83,164,FOB,45 Days,Consignment,CTR-9027,12/01/25,05/06/25,BUY-003,206S,206A
ITM-003,Nike Air Jordan Sneakers,Supplier F,SUP-1006,USA,US/New York,2,65.12,50,0.46,65.58,115.58,136,CIF,60 Days,Customer-Owned,CTR-9028,28/02/25,30/04/26,BUY-002,306S,306A
ITM-004,KitchenAid Stand Mixer,Supplier F,SUP-1006,USA,Philippines/Manila,1,183.2,50,0.49,183.69,233.69,122,FOB,45 Days,Customer-Owned,CTR-9029,09/09/24,08/10/25,BUY-004,406S,406A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier F,SUP-1006,USA,Taiwan/Taipei,1,351.82,50,0.42,352.24,402.24,145,DDP,45 Days,Consignment,CTR-9030,24/10/24,31/01/26,BUY-004,506S,506A
ITM-001,Apple iPhone 15 Pro,Supplier G,SUP-1007,Japan,Philippines/Manila,1,920,50,0.42,920.42,970.42,168,EXW,45 Days,Own Stock,CTR-9031,07/09/24,19/12/25,BUY-004,107S,107A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier G,SUP-1007,Japan,US/New York,1,429.14,50,0.37,429.51,479.51,158,CIF,30 Days,Own Stock,CTR-9032,29/12/24,04/12/25,BUY-005,207S,207A
ITM-003,Nike Air Jordan Sneakers,Supplier G,SUP-1007,Japan,Philippines/Manila,2,65.12,50,0.44,65.56,115.56,143,EXW,60 Days,Consignment,CTR-9033,13/06/24,18/09/25,BUY-001,307S,307A
ITM-004,KitchenAid Stand Mixer,Supplier G,SUP-1007,Japan,Philippines/Manila,2,183.21,50,0.42,183.63,233.63,114,FOB,30 Days,Customer-Owned,CTR-9034,24/02/25,13/08/25,BUY-003,407S,407A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier G,SUP-1007,Japan,Philippines/Manila,2,352.16,50,0.37,352.53,402.53,66,CIF,15 Days,Customer-Owned,CTR-9035,23/09/24,31/07/25,BUY-002,507S,507A
ITM-001,Apple iPhone 15 Pro,Supplier H,SUP-1008,Taiwan,Taiwan/Taipei,2,920,50,0.36,920.36,970.36,156,FOB,30 Days,Own Stock,CTR-9036,02/02/25,10/01/26,BUY-001,108S,108A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier H,SUP-1008,Taiwan,Taiwan/Taipei,1,460.42,50,0.37,460.79,510.79,191,FOB,60 Days,Customer-Owned,CTR-9037,06/07/24,13/11/25,BUY-003,208S,208A
ITM-003,Nike Air Jordan Sneakers,Supplier H,SUP-1008,Taiwan,Philippines/Manila,2,65.11,50,0.34,65.45,115.45,95,EXW,15 Days,Own Stock,CTR-9038,25/11/24,23/02/26,BUY-003,308S,308A
ITM-004,KitchenAid Stand Mixer,Supplier H,SUP-1008,Taiwan,Philippines/Manila,2,183.53,50,0.37,183.9,233.9,115,CIF,45 Days,Own Stock,CTR-9039,09/08/24,11/10/25,BUY-004,408S,408A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier H,SUP-1008,Taiwan,Philippines/Manila,2,351.89,50,0.34,352.23,402.23,80,DDP,30 Days,Own Stock,CTR-9040,31/05/24,09/01/26,BUY-003,508S,508A
ITM-001,Apple iPhone 15 Pro,Supplier I,SUP-1009,Japan,Philippines/Manila,1,920,50,0.42,920.42,970.42,109,CIF,15 Days,Customer-Owned,CTR-9041,28/12/24,12/10/25,BUY-004,109S,109A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier I,SUP-1009,Japan,US/New York,1,460.46,50,0.39,460.85,510.85,84,CIF,15 Days,Customer-Owned,CTR-9042,11/03/25,03/02/26,BUY-005,209S,209A
ITM-003,Nike Air Jordan Sneakers,Supplier I,SUP-1009,Japan,US/New York,2,65.13,50,0.37,65.5,115.5,53,FOB,60 Days,Customer-Owned,CTR-9043,09/06/24,03/07/25,BUY-001,309S,309A
ITM-004,KitchenAid Stand Mixer,Supplier I,SUP-1009,Japan,Taiwan/Taipei,1,183.6,50,0.44,184.04,234.04,121,CIF,30 Days,Own Stock,CTR-9044,05/08/24,21/12/25,BUY-001,409S,409A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier I,SUP-1009,Japan,Philippines/Manila,2,351.87,50,0.42,352.29,402.29,119,DDP,60 Days,Customer-Owned,CTR-9045,23/09/24,13/03/26,BUY-005,509S,509A
ITM-001,Apple iPhone 15 Pro,Supplier J,SUP-1010,Germany,US/New York,1,920,50,0.41,920.41,970.41,50,FOB,15 Days,Customer-Owned,CTR-9046,11/08/24,14/02/26,BUY-001,110S,110A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier J,SUP-1010,Germany,US/New York,1,460.62,50,0.4,461.02,511.02,87,CIF,30 Days,Consignment,CTR-9047,02/01/25,03/04/26,BUY-005,210S,210A
ITM-003,Nike Air Jordan Sneakers,Supplier J,SUP-1010,Germany,Philippines/Manila,1,65.12,50,0.37,65.49,115.49,174,DDP,15 Days,Customer-Owned,CTR-9048,17/03/25,12/03/26,BUY-002,310S,310A
ITM-004,KitchenAid Stand Mixer,Supplier J,SUP-1010,Germany,Philippines/Manila,2,183.43,50,0.41,183.84,233.84,65,EXW,60 Days,Customer-Owned,CTR-9049,13/08/24,06/08/25,BUY-003,410S,410A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier J,SUP-1010,Germany,US/New York,2,351.9,50,0.42,352.32,402.32,102,EXW,60 Days,Consignment,CTR-9050,31/12/24,22/09/25,BUY-003,510S,510A
ITM-001,Apple iPhone 15 Pro,Supplier K,SUP-1011,India,Philippines/Manila,2,920,50,0.43,920.43,970.43,182,FOB,15 Days,Customer-Owned,CTR-9051,15/06/24,29/09/25,BUY-002,111S,111A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier K,SUP-1011,India,Taiwan/Taipei,2,459.7,50,0.48,460.18,510.18,60,EXW,60 Days,Customer-Owned,CTR-9052,11/06/24,18/06/25,BUY-002,211S,211A
ITM-003,Nike Air Jordan Sneakers,Supplier K,SUP-1011,India,Philippines/Manila,2,65.13,50,0.48,65.61,115.61,91,DDP,30 Days,Customer-Owned,CTR-9053,03/09/24,09/01/26,BUY-005,311S,311A
ITM-004,KitchenAid Stand Mixer,Supplier K,SUP-1011,India,Philippines/Manila,1,183.31,50,0.46,183.77,233.77,178,DDP,30 Days,Consignment,CTR-9054,24/12/24,01/03/26,BUY-001,411S,411A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier K,SUP-1011,India,Philippines/Manila,1,351.96,50,0.41,352.37,402.37,194,CIF,30 Days,Customer-Owned,CTR-9055,25/12/24,23/03/26,BUY-003,511S,511A
ITM-001,Apple iPhone 15 Pro,Supplier L,SUP-1012,Japan,Philippines/Manila,2,920,50,0.38,920.38,970.38,196,CIF,15 Days,Own Stock,CTR-9056,21/06/24,19/10/25,BUY-001,112S,112A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier L,SUP-1012,Japan,Taiwan/Taipei,1,459.9,50,0.41,460.31,510.31,84,EXW,15 Days,Consignment,CTR-9057,10/07/24,31/10/25,BUY-003,212S,212A
ITM-003,Nike Air Jordan Sneakers,Supplier L,SUP-1012,Japan,US/New York,2,65.12,50,0.39,65.51,115.51,130,FOB,15 Days,Customer-Owned,CTR-9058,02/09/24,21/07/25,BUY-002,312S,312A
ITM-004,KitchenAid Stand Mixer,Supplier L,SUP-1012,Japan,Philippines/Manila,2,183.32,50,0.44,183.76,233.76,183,EXW,60 Days,Own Stock,CTR-9059,14/06/24,16/09/25,BUY-005,412S,412A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier L,SUP-1012,Japan,Taiwan/Taipei,1,351.93,50,0.38,352.31,402.31,152,CIF,45 Days,Own Stock,CTR-9060,01/02/25,02/02/26,BUY-005,512S,512A
ITM-001,Apple iPhone 15 Pro,Supplier M,SUP-1013,Japan,Philippines/Manila,2,920,50,0.36,920.36,970.36,133,FOB,15 Days,Consignment,CTR-9061,13/10/24,13/07/25,BUY-004,113S,113A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier M,SUP-1013,Japan,US/New York,1,460.66,50,0.42,461.08,511.08,80,CIF,30 Days,Customer-Owned,CTR-9062,26/01/25,30/11/25,BUY-002,213S,213A
ITM-003,Nike Air Jordan Sneakers,Supplier M,SUP-1013,Japan,Taiwan/Taipei,2,65.12,50,0.38,65.5,115.5,147,DDP,45 Days,Own Stock,CTR-9063,01/10/24,06/04/26,BUY-003,313S,313A
ITM-004,KitchenAid Stand Mixer,Supplier M,SUP-1013,Japan,Philippines/Manila,2,183.52,50,0.42,183.94,233.94,196,FOB,30 Days,Customer-Owned,CTR-9064,13/10/24,09/09/25,BUY-003,413S,413A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier M,SUP-1013,Japan,Philippines/Manila,2,352.09,50,0.41,352.5,402.5,172,DDP,60 Days,Customer-Owned,CTR-9065,27/10/24,14/06/25,BUY-005,513S,513A
ITM-001,Apple iPhone 15 Pro,Supplier N,SUP-1014,Japan,Philippines/Manila,2,920,50,0.37,920.37,970.37,190,CIF,30 Days,Customer-Owned,CTR-9066,02/08/24,08/01/26,BUY-003,114S,114A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier N,SUP-1014,Japan,Philippines/Manila,1,459.28,50,0.41,459.69,509.69,118,EXW,45 Days,Customer-Owned,CTR-9067,04/07/24,30/11/25,BUY-002,214S,214A
ITM-003,Nike Air Jordan Sneakers,Supplier N,SUP-1014,Japan,US/New York,2,65.12,50,0.39,65.51,115.51,188,FOB,15 Days,Customer-Owned,CTR-9068,25/12/24,12/06/25,BUY-001,314S,314A
ITM-004,KitchenAid Stand Mixer,Supplier N,SUP-1014,Japan,Philippines/Manila,2,183.21,50,0.37,183.58,233.58,136,EXW,45 Days,Consignment,CTR-9069,30/12/24,15/09/25,BUY-003,414S,414A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier N,SUP-1014,Japan,Philippines/Manila,1,351.86,50,0.38,352.24,402.24,73,EXW,60 Days,Customer-Owned,CTR-9070,03/11/24,30/06/25,BUY-002,514S,514A
ITM-001,Apple iPhone 15 Pro,Supplier O,SUP-1015,USA,US/New York,2,920,50,0.43,920.43,970.43,190,DDP,45 Days,Own Stock,CTR-9071,28/10/24,06/09/25,BUY-003,115S,115A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier O,SUP-1015,USA,US/New York,1,459.76,50,0.48,460.24,510.24,121,DDP,15 Days,Own Stock,CTR-9072,18/05/24,14/09/25,BUY-002,215S,215A
ITM-003,Nike Air Jordan Sneakers,Supplier O,SUP-1015,USA,US/New York,2,65.12,50,0.43,65.55,115.55,137,FOB,60 Days,Consignment,CTR-9073,01/02/25,06/12/25,BUY-003,315S,315A
ITM-004,KitchenAid Stand Mixer,Supplier O,SUP-1015,USA,Philippines/Manila,2,183.53,50,0.45,183.98,233.98,79,FOB,30 Days,Consignment,CTR-9074,02/06/24,27/09/25,BUY-003,415S,415A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier O,SUP-1015,USA,Philippines/Manila,1,351.97,50,0.5,352.47,402.47,100,CIF,15 Days,Own Stock,CTR-9075,14/01/25,24/01/26,BUY-002,515S,515A
ITM-001,Apple iPhone 15 Pro,Supplier P,SUP-1016,USA,US/New York,2,920,50,0.42,920.42,970.42,191,FOB,45 Days,Own Stock,CTR-9076,08/05/24,01/03/26,BUY-001,116S,116A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier P,SUP-1016,USA,US/New York,2,459.1,50,0.43,459.53,509.53,183,DDP,30 Days,Customer-Owned,CTR-9077,22/01/25,08/02/26,BUY-001,216S,216A
ITM-003,Nike Air Jordan Sneakers,Supplier P,SUP-1016,USA,US/New York,2,65.11,50,0.45,65.56,115.56,177,CIF,60 Days,Own Stock,CTR-9078,30/12/24,19/09/25,BUY-005,316S,316A
ITM-004,KitchenAid Stand Mixer,Supplier P,SUP-1016,USA,Taiwan/Taipei,1,183.77,50,0.42,184.19,234.19,55,DDP,45 Days,Consignment,CTR-9079,27/06/24,11/06/25,BUY-001,416S,416A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier P,SUP-1016,USA,US/New York,2,352.12,50,0.42,352.54,402.54,166,DDP,30 Days,Consignment,CTR-9080,22/02/25,22/12/25,BUY-001,516S,516A
ITM-001,Apple iPhone 15 Pro,Supplier Q,SUP-1017,Taiwan,Philippines/Manila,2,920,50,0.39,920.39,970.39,178,FOB,60 Days,Customer-Owned,CTR-9081,06/04/25,23/10/25,BUY-004,117S,117A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier Q,SUP-1017,Taiwan,Philippines/Manila,1,460.12,50,0.4,460.52,510.52,108,CIF,30 Days,Customer-Owned,CTR-9082,27/05/24,16/01/26,BUY-001,217S,217A
ITM-003,Nike Air Jordan Sneakers,Supplier Q,SUP-1017,Taiwan,US/New York,2,65.12,50,0.42,65.54,115.54,83,CIF,45 Days,Own Stock,CTR-9083,26/05/24,28/11/25,BUY-004,317S,317A
ITM-004,KitchenAid Stand Mixer,Supplier Q,SUP-1017,Taiwan,Taiwan/Taipei,2,183.84,50,0.34,184.18,234.18,67,DDP,60 Days,Customer-Owned,CTR-9084,09/11/24,09/06/25,BUY-005,417S,417A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier Q,SUP-1017,Taiwan,Philippines/Manila,1,352.11,50,0.35,352.46,402.46,186,CIF,15 Days,Own Stock,CTR-9085,27/07/24,01/07/25,BUY-004,517S,517A
ITM-001,Apple iPhone 15 Pro,Supplier R,SUP-1018,Germany,Taiwan/Taipei,2,920,50,0.37,920.37,970.37,59,DDP,30 Days,Own Stock,CTR-9086,14/11/24,24/06/25,BUY-002,118S,118A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier R,SUP-1018,Germany,US/New York,2,460.5,50,0.42,460.92,510.92,52,EXW,45 Days,Customer-Owned,CTR-9087,18/11/24,18/04/26,BUY-003,218S,218A
ITM-003,Nike Air Jordan Sneakers,Supplier R,SUP-1018,Germany,Philippines/Manila,1,65.11,50,0.38,65.49,115.49,68,CIF,45 Days,Consignment,CTR-9088,05/07/24,26/08/25,BUY-003,318S,318A
ITM-004,KitchenAid Stand Mixer,Supplier R,SUP-1018,Germany,Taiwan/Taipei,2,183.17,50,0.43,183.6,233.6,94,CIF,15 Days,Customer-Owned,CTR-9089,11/07/24,29/06/25,BUY-002,418S,418A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier R,SUP-1018,Germany,Philippines/Manila,2,351.9,50,0.36,352.26,402.26,171,EXW,15 Days,Customer-Owned,CTR-9090,03/01/25,26/09/25,BUY-005,518S,518A
ITM-001,Apple iPhone 15 Pro,Supplier S,SUP-1019,Japan,Taiwan/Taipei,1,920,50,0.4,920.4,970.4,108,EXW,15 Days,Consignment,CTR-9091,16/08/24,12/12/25,BUY-004,119S,119A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier S,SUP-1019,Japan,Taiwan/Taipei,1,460.58,50,0.42,461,511,189,CIF,60 Days,Consignment,CTR-9092,10/10/24,31/01/26,BUY-002,219S,219A
ITM-003,Nike Air Jordan Sneakers,Supplier S,SUP-1019,Japan,Taiwan/Taipei,2,65.12,50,0.42,65.54,115.54,151,CIF,45 Days,Consignment,CTR-9093,16/11/24,29/07/25,BUY-003,319S,319A
ITM-004,KitchenAid Stand Mixer,Supplier S,SUP-1019,Japan,Philippines/Manila,1,183.28,50,0.41,183.69,233.69,130,EXW,60 Days,Consignment,CTR-9094,02/07/24,20/10/25,BUY-004,419S,419A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier S,SUP-1019,Japan,Taiwan/Taipei,1,351.85,50,0.42,352.27,402.27,115,DDP,45 Days,Customer-Owned,CTR-9095,10/06/24,04/11/25,BUY-003,519S,519A
ITM-001,Apple iPhone 15 Pro,Supplier T,SUP-1020,Taiwan,Philippines/Manila,1,920,50,0.38,920.38,970.38,161,DDP,60 Days,Customer-Owned,CTR-9096,09/02/25,02/11/25,BUY-001,120S,120A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier T,SUP-1020,Taiwan,Taiwan/Taipei,1,460.4,50,0.39,460.79,510.79,107,FOB,60 Days,Consignment,CTR-9097,18/09/24,20/06/25,BUY-001,220S,220A
ITM-003,Nike Air Jordan Sneakers,Supplier T,SUP-1020,Taiwan,Taiwan/Taipei,1,65.13,50,0.36,65.49,115.49,56,DDP,60 Days,Consignment,CTR-9098,20/07/24,01/03/26,BUY-003,320S,320A
ITM-004,KitchenAid Stand Mixer,Supplier T,SUP-1020,Taiwan,US/New York,2,183.38,50,0.35,183.73,233.73,68,FOB,45 Days,Customer-Owned,CTR-9099,14/06/24,19/08/25,BUY-001,420S,420A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier T,SUP-1020,Taiwan,Taiwan/Taipei,1,351.81,50,0.38,352.19,402.19,78,CIF,45 Days,Consignment,CTR-9100,02/10/24,20/12/25,BUY-005,520S,520A
ITM-001,Apple iPhone 15 Pro,Supplier U,SUP-1021,USA,Taiwan/Taipei,2,920,50,0.46,920.46,970.46,198,FOB,45 Days,Own Stock,CTR-9101,20/10/24,31/03/26,BUY-004,121S,121A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier U,SUP-1021,USA,Taiwan/Taipei,2,459.82,50,0.44,460.26,510.26,51,DDP,60 Days,Customer-Owned,CTR-9102,23/09/24,29/09/25,BUY-003,221S,221A
ITM-003,Nike Air Jordan Sneakers,Supplier U,SUP-1021,USA,US/New York,1,65.13,50,0.49,65.62,115.62,143,FOB,45 Days,Customer-Owned,CTR-9103,23/06/24,21/03/26,BUY-004,321S,321A
ITM-004,KitchenAid Stand Mixer,Supplier U,SUP-1021,USA,Taiwan/Taipei,1,183.26,50,0.43,183.69,233.69,82,FOB,60 Days,Own Stock,CTR-9104,19/01/25,05/03/26,BUY-005,421S,421A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier U,SUP-1021,USA,Philippines/Manila,1,352.11,50,0.43,352.54,402.54,87,CIF,45 Days,Own Stock,CTR-9105,29/07/24,22/06/25,BUY-003,521S,521A
ITM-001,Apple iPhone 15 Pro,Supplier V,SUP-1022,Taiwan,US/New York,1,920,50,0.37,920.37,970.37,134,DDP,30 Days,Consignment,CTR-9106,30/07/24,04/02/26,BUY-003,122S,122A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier V,SUP-1022,Taiwan,US/New York,1,460.12,50,0.35,460.47,510.47,112,CIF,15 Days,Customer-Owned,CTR-9107,28/05/24,06/03/26,BUY-005,222S,222A
ITM-003,Nike Air Jordan Sneakers,Supplier V,SUP-1022,Taiwan,US/New York,2,65.13,50,0.37,65.5,115.5,78,CIF,45 Days,Own Stock,CTR-9108,07/05/24,19/10/25,BUY-001,322S,322A
ITM-004,KitchenAid Stand Mixer,Supplier V,SUP-1022,Taiwan,US/New York,1,183.79,50,0.39,184.18,234.18,147,CIF,15 Days,Own Stock,CTR-9109,19/01/25,06/08/25,BUY-005,422S,422A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier V,SUP-1022,Taiwan,Philippines/Manila,1,351.95,50,0.39,352.34,402.34,87,EXW,45 Days,Customer-Owned,CTR-9110,28/07/24,04/04/26,BUY-004,522S,522A
ITM-001,Apple iPhone 15 Pro,Supplier W,SUP-1023,India,US/New York,1,920,50,0.41,920.41,970.41,138,DDP,60 Days,Own Stock,CTR-9111,16/03/25,11/10/25,BUY-003,123S,123A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier W,SUP-1023,India,Philippines/Manila,1,460.12,50,0.47,460.59,510.59,172,FOB,45 Days,Customer-Owned,CTR-9112,13/01/25,11/04/26,BUY-004,223S,223A
ITM-003,Nike Air Jordan Sneakers,Supplier W,SUP-1023,India,Taiwan/Taipei,1,65.12,50,0.43,65.55,115.55,71,DDP,15 Days,Consignment,CTR-9113,30/05/24,16/09/25,BUY-001,323S,323A
ITM-004,KitchenAid Stand Mixer,Supplier W,SUP-1023,India,US/New York,1,183.28,50,0.44,183.72,233.72,174,EXW,45 Days,Consignment,CTR-9114,14/09/24,02/12/25,BUY-005,423S,423A
ITM-005,Dyson V15 Vacuum Cleaner,Supplier W,SUP-1023,India,Philippines/Manila,2,351.82,50,0.45,352.27,402.27,195,CIF,45 Days,Own Stock,CTR-9115,06/11/24,20/06/25,BUY-002,523S,523A
ITM-001,Apple iPhone 15 Pro,Supplier X,SUP-1024,USA,Taiwan/Taipei,1,920,50,0.44,920.44,970.44,131,EXW,15 Days,Consignment,CTR-9116,02/06/24,20/09/25,BUY-005,124S,124A
ITM-002,"Samsung 65"" 4K Smart TV",Supplier X,SUP-1024,USA,Taiwan/Taipei,2,460.96,50,0.43,461.39,511.39,79,CIF,45 Days,Customer-Owned,CTR-9117,21/10/24,07/01/26,BUY-005,224S,224A
ITM-003,Nike Air Jordan Sneakers,Supplier X,SUP-1024,USA,Philippines/Manila,2,65.12,50,0.48,65.6,115.6,187,EXW,30 Days,Own Stock,CTR-9118,30/10/24,22/09/25,BUY-005,324S,324A
